  Player,  Span,  Mat,  Inns,  Overs,  Mdns,  Runs,  Wkts,  BBI,  Ave,  Econ,  SR,  4,  5,  Ct,  St
MA Agarwal,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,1,0
KK Ahmed,2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0,1,0
JJ Bumrah,2016-2020,64,64,557.4,38,2541,104,5/27,24.43,4.55,32.1,5,1,17,0
YS Chahal,2016-2020,52,51,463.1,13,2351,91,6/42,25.83,5.07,30.5,2,2,15,0
DL Chahar,2018-2019,3,3,21.0,2,129,2,1/37,64.50,6.14,63.0,0,0,0,0
S Dhawan,2010-2020,136,-,-,-,-,-,-,-,-,-,-,-,62,0
MS Dhoni,2004-2019,347,2,6.0,0,31,1,1/14,31.00,5.16,36.0,0,0,318,120
S Dube,2019-2019,1,1,7.5,0,68,0,-,-,8.68,-,0,0,0,0
SS Iyer,2017-2020,18,2,2.0,0,15,0,-,-,7.50,-,0,0,8,0
RA Jadeja,2009-2020,165,161,1396.1,50,6839,187,5/36,36.57,4.89,44.7,7,1,58,0
KM Jadhav,2014-2020,73,42,197.5,1,1020,27,3/23,37.77,5.15,43.9,0,0,33,0
KD Karthik,2004-2019,94,-,-,-,-,-,-,-,-,-,-,-,64,7
S Kaul,2018-2018,3,3,27.0,0,179,0,-,-,6.62,-,0,0,1,0
V Kohli,2008-2020,248,48,106.5,1,665,4,1/15,166.25,6.22,160.2,0,0,128,0
Kuldeep Yadav,2017-2020,60,58,532.0,12,2721,104,6/25,26.16,5.11,30.6,4,1,7,0
B Kumar,2012-2019,114,113,908.3,68,4568,132,5/42,34.60,5.02,41.2,4,1,27,0
Mohammed Shami,2013-2020,77,76,655.0,39,3661,144,5/69,25.42,5.58,27.2,9,1,27,0
Mohammed Siraj,2019-2019,1,1,10.0,0,76,0,-,-,7.60,-,0,0,0,0
MK Pandey,2015-2020,26,-,-,-,-,-,-,-,-,-,-,-,7,0
HH Pandya,2016-2019,54,53,394.4,5,2195,54,3/31,40.64,5.56,43.8,0,0,22,0
RR Pant,2018-2020,16,-,-,-,-,-,-,-,-,-,-,-,8,1
KL Rahul,2016-2020,32,-,-,-,-,-,-,-,-,-,-,-,13,2
SK Raina,2005-2018,226,101,354.2,5,1811,36,3/34,50.30,5.11,59.0,0,0,102,0
AT Rayudu,2013-2019,55,9,20.1,1,124,3,1/5,41.33,6.14,40.3,0,0,17,0
NA Saini,2019-2020,5,5,48.0,0,301,5,2/58,60.20,6.27,57.6,0,0,3,0
V Shankar,2019-2019,12,9,38.5,0,210,4,2/15,52.50,5.40,58.2,0,0,7,0
RG Sharma,2007-2020,224,38,98.5,2,515,8,2/27,64.37,5.21,74.1,0,0,77,0
PP Shaw,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Shubman Gill,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,0,0
SN Thakur,2017-2020,11,11,87.0,1,609,12,4/52,50.75,7.00,43.5,1,0,3,0
UT Yadav,2010-2018,75,73,593.0,23,3565,106,4/31,33.63,6.01,33.5,4,0,22,0
